time,Serving_gNB_UE_Throughput,Source_gNB,Target_gNB,Target_gNB_UE_Throughput,ue-id
2024-05-24T08:01:21.686882Z,524.0,2,6,1048.0,8
2024-05-24T08:01:32.266354Z,74408.0,2,6,30916.0,1
2024-05-24T08:01:32.279440Z,30916.0,6,7,0.0,1
2024-05-24T08:01:56.353338Z,31439.0,5,2,25152.0,10
2024-05-24T08:02:01.276607Z,0.0,6,2,1048.0,8
2024-05-24T08:02:01.308072Z,1048.0,2,6,0.0,8
2024-05-24T08:02:05.150971Z,0.0,6,2,1048.0,8
2024-05-24T08:02:05.170411Z,0.0,7,6,524.0,1
2024-05-24T08:02:32.051821Z,1572.0,4,2,53972.0,9
2024-05-24T08:02:56.074781Z,0.0,2,6,0.0,8
2024-05-24T08:02:58.603589Z,0.0,6,2,3144.0,8
2024-05-24T08:02:58.635904Z,3144.0,2,6,0.0,8
2024-05-24T08:03:02.376609Z,5764.0,7,2,5764.0,3
2024-05-24T08:03:02.379277Z,0.0,6,2,0.0,8
2024-05-24T08:03:42.790488Z,0.0,6,2,0.0,1
2024-05-24T08:03:42.807372Z,22532.0,2,5,32488.0,9
2024-05-24T08:03:53.881495Z,1048.0,6,2,1048.0,6
2024-05-24T08:03:56.517700Z,47160.0,5,2,26200.0,9
2024-05-24T08:04:39.960765Z,2620.0,2,6,2620.0,1
2024-05-24T08:04:46.560929Z,15196.0,2,4,20436.0,9
2024-05-24T08:04:54.564208Z,3144.0,4,2,2096.0,7
2024-05-24T08:06:09.618154Z,7336.0,7,2,18864.0,5
2024-05-24T08:06:09.653096Z,18864.0,2,7,0.0,5
2024-05-24T08:06:13.083120Z,0.0,7,2,25152.0,5
2024-05-24T08:06:27.595223Z,3668.0,2,7,3144.0,3
2024-05-24T08:06:47.390227Z,0.0,6,2,9432.0,4
2024-05-24T08:06:47.422386Z,9432.0,2,6,0.0,4
2024-05-24T08:06:49.585052Z,0.0,6,2,67596.0,4
2024-05-24T08:06:52.967782Z,524.0,2,6,0.0,6
2024-05-24T08:06:55.445643Z,0.0,6,2,1572.0,6
2024-05-24T08:06:55.454789Z,18340.0,4,2,16768.0,9
2024-05-24T08:07:35.617820Z,37728.0,2,5,22532.0,5
2024-05-24T08:07:35.632369Z,0.0,2,6,0.0,6
2024-05-24T08:07:38.555936Z,2620.0,2,4,2611.0,7
2024-05-24T08:07:47.683825Z,38776.0,6,2,26724.0,1
2024-05-24T08:07:47.709665Z,26724.0,2,6,0.0,1
2024-05-24T08:07:50.674440Z,0.0,6,2,524.0,1
2024-05-24T08:07:50.681396Z,37728.0,5,2,37728.0,5
2024-05-24T08:07:50.702842Z,37728.0,2,5,0.0,5
2024-05-24T08:07:53.198018Z,0.0,5,2,37728.0,5
2024-05-24T08:07:56.295534Z,0.0,2,6,4716.0,4
2024-05-24T08:08:06.123284Z,1048.0,6,2,0.0,2
2024-05-24T08:08:08.511733Z,22436.0,6,2,37728.0,4
2024-05-24T08:08:31.903929Z,4716.0,7,2,2096.0,3
2024-05-24T08:08:36.880332Z,0.0,4,2,524.0,7
2024-05-24T08:08:36.897565Z,0.0,2,6,0.0,1
2024-05-24T08:08:36.899464Z,0.0,2,6,0.0,2
2024-05-24T08:08:40.530309Z,0.0,6,2,0.0,1
2024-05-24T08:08:40.540010Z,0.0,6,2,0.0,2
2024-05-24T08:08:44.450324Z,0.0,2,6,0.0,2
2024-05-24T08:09:19.270158Z,3144.0,2,4,2620.0,7
2024-05-24T08:09:42.065421Z,0.0,4,2,0.0,7
2024-05-24T08:09:44.720212Z,37728.0,2,6,0.0,5
2024-05-24T08:09:55.347363Z,0.0,2,6,0.0,4
2024-05-24T08:09:57.997302Z,27772.0,6,2,26200.0,5
2024-05-24T08:09:58.011371Z,0.0,6,3,524.0,4
2024-05-24T08:09:58.015417Z,28820.0,2,4,33536.0,9
2024-05-24T08:09:58.025913Z,524.0,3,6,0.0,4
2024-05-24T08:10:00.238282Z,0.0,6,3,0.0,4
2024-05-24T08:10:03.255873Z,1048.0,2,6,524.0,1
2024-05-24T08:10:12.616893Z,0.0,2,5,1572.0,8
2024-05-24T08:10:14.889229Z,0.0,3,6,0.0,4
2024-05-24T08:10:24.899379Z,9956.0,2,7,67596.0,10
2024-05-24T08:10:29.317012Z,15196.0,7,2,16244.0,10
2024-05-24T08:10:29.321551Z,0.0,6,3,0.0,4
2024-05-24T08:10:29.341664Z,0.0,3,6,0.0,4
2024-05-24T08:10:32.612802Z,0.0,6,3,3144.0,4
2024-05-24T08:10:39.012605Z,4716.0,2,5,4192.0,3
2024-05-24T08:11:01.529329Z,0.0,2,4,0.0,7
2024-05-24T08:11:16.729342Z,0.0,6,7,0.0,1
2024-05-24T08:11:43.018871Z,18864.0,7,6,23056.0,1
2024-05-24T08:11:55.982961Z,23580.0,6,2,26724.0,1
2024-05-24T08:12:09.448553Z,9432.0,5,2,5240.0,3
2024-05-24T08:12:09.467150Z,5240.0,2,5,0.0,3
2024-05-24T08:12:12.043612Z,0.0,5,2,8384.0,3
2024-05-24T08:12:31.759345Z,0.0,3,6,0.0,4
2024-05-24T08:12:37.828001Z,1572.0,6,3,3144.0,4
2024-05-24T08:12:37.850805Z,0.0,2,6,5240.0,10
2024-05-24T08:12:42.114169Z,0.0,2,7,17816.0,1
2024-05-24T08:12:53.500327Z,23056.0,6,2,524.0,10
2024-05-24T08:13:04.382388Z,1048.0,4,2,1572.0,9
2024-05-24T08:13:48.920299Z,0.0,2,7,0.0,5
2024-05-24T08:13:57.350855Z,2096.0,2,5,524.0,9
2024-05-24T08:14:00.394897Z,0.0,3,6,0.0,4
2024-05-24T08:14:16.534055Z,0.0,5,4,6288.0,9
2024-05-24T08:14:29.902745Z,0.0,5,4,524.0,8
2024-05-24T08:14:43.918822Z,40348.0,7,5,5764.0,1
2024-05-24T08:14:59.802828Z,34060.0,7,2,8908.0,5
2024-05-24T08:14:59.806147Z,5240.0,4,2,4192.0,8
2024-05-24T08:14:59.822252Z,0.0,2,5,6288.0,3
2024-05-24T08:15:20.600765Z,0.0,5,7,0.0,1
2024-05-24T08:15:23.188466Z,0.0,2,7,0.0,5
2024-05-24T08:15:36.261263Z,37728.0,7,5,37728.0,1
2024-05-24T08:15:41.369199Z,37728.0,7,4,37728.0,5
2024-05-24T08:15:49.160443Z,39300.0,5,7,38776.0,1
2024-05-24T08:15:54.786515Z,19912.0,6,2,1572.0,6
2024-05-24T08:16:05.564427Z,1048.0,2,5,0.0,6
2024-05-24T08:16:34.787729Z,26200.0,5,2,22532.0,6
2024-05-24T08:16:43.081189Z,16244.0,2,6,0.0,8
